Date,Location,Treatment,as_measured,amount_used,collector,google_second_wave_trend,google_drug_resistant_trend,is_suspicious
3/22/18,concur - 5th floor,1,MISSING,N/A,Carmen,0,99,1
3/22/18,concur - 10th floor,0,1837,1,Carmen,0,99,0
3/22/18,concur -12th floor,1,1787,-1,Carmen,0,99,1
3/22/18,concur - 16th floor,0,1769,1,Carmen,0,99,0
3/23/18,concur - 3rd floor,1,1834,2,Nikki,0,0,0
3/23/18,concur - 5th floor,1,1863,12,Nikki,0,0,0
3/23/18,concur - 10th floor,0,1836,4,Nikki,0,0,0
3/23/18,concur -12th floor,1,1788,0,Nikki,0,0,0
3/23/18,concur - 16th floor,0,1768,6,Nikki,0,0,0
3/26/18,concur - 3rd floor,1,1832,1,Lu,43,0,0
3/26/18,concur - 5th floor,1,1851,23,Lu,43,0,0
3/26/18,concur - 10th floor,0,1832,2,Lu,43,0,0
3/26/18,concur -12th floor,1,1788,273,Lu,43,0,1
3/26/18,concur - 16th floor,0,1762,4,Lu,43,0,0
3/27/18,concur - 3rd floor,1,1831,1,Lu,100,50,0
3/27/18,concur - 5th floor,1,1828,22,Lu,100,50,0
3/27/18,concur - 10th floor,0,1830,0,Lu,100,50,0
3/27/18,concur -12th floor,1,1515,11,Lu,100,50,0
3/27/18,concur - 16th floor,0,1758,3,Lu,100,50,0
3/28/18,concur - 3rd floor,1,1830,1,Nikki,88,0,0
3/28/18,concur - 5th floor,1,1806,6,Nikki,88,0,0
3/28/18,concur - 10th floor,0,1830,2,Nikki,88,0,0
3/28/18,concur -12th floor,1,1504,3,Nikki,88,0,0
3/28/18,concur - 16th floor,0,1755,6,Nikki,88,0,0
3/29/18,concur - 3rd floor,1,1829,1,Nikki,60,0,0
3/29/18,concur - 5th floor,1,1800,7,Nikki,60,0,0
3/29/18,concur - 10th floor,0,1828,2,Nikki,60,0,0
3/29/18,concur -12th floor,1,1501,3,Nikki,60,0,0
3/29/18,concur - 16th floor,0,1749,6,Nikki,60,0,0
3/30/18,concur - 3rd floor,1,1828,-1,Nikki,97,0,1
3/30/18,concur - 5th floor,1,1793,7,Nikki,97,0,0
3/30/18,concur - 10th floor,0,1826,4,Nikki,97,0,0
3/30/18,concur -12th floor,1,1498,1,Nikki,97,0,0
3/30/18,concur - 16th floor,0,1743,6,Nikki,97,0,0
4/2/18,concur - 3rd floor,0,1829,-1,Carmen,46,0,1
4/2/18,concur - 5th floor,0,1786,5,Carmen,46,0,0
4/2/18,concur - 10th floor,1,1822,-1,Carmen,46,0,1
4/2/18,concur -12th floor,0,1497,-158,Carmen,46,0,1
4/2/18,concur - 16th floor,1,1737,8,Carmen,46,0,0
4/3/18,concur - 3rd floor,0,1830,3,Carmen,0,0,0
4/3/18,concur - 5th floor,0,1781,7,Carmen,0,0,0
4/3/18,concur - 10th floor,1,1823,1,Carmen,0,0,0
4/3/18,concur -12th floor,0,1655,0,Carmen,0,0,0
4/3/18,concur - 16th floor,1,1729,4,Carmen,0,0,0
4/4/18,concur - 3rd floor,0,1827,0,Nikki,14,49,0
4/4/18,concur - 5th floor,0,1774,43,Nikki,14,49,0
4/4/18,concur - 10th floor,1,1822,2,Nikki,14,49,0
4/4/18,concur -12th floor,0,1655,6,Nikki,14,49,0
4/4/18,concur - 16th floor,1,1725,6,Nikki,14,49,0
4/5/18,concur - 3rd floor,0,1824,2,Carmen,22,40,0
4/5/18,concur - 5th floor,0,1570,152,Carmen,22,40,1
4/5/18,concur - 10th floor,1,1818,3,Carmen,22,40,0
4/5/18,concur -12th floor,0,1645,6,Carmen,22,40,0
4/5/18,concur - 16th floor,1,1705,10,Carmen,22,40,0
4/6/18,concur - 3rd floor,0,1827,1,Carmen,11,50,0
4/6/18,concur - 5th floor,0,1731,9,Carmen,11,50,0
4/6/18,concur - 10th floor,1,1820,-1,Carmen,11,50,1
4/6/18,concur -12th floor,0,1649,-3,Carmen,11,50,1
4/6/18,concur - 16th floor,1,1719,4,Carmen,11,50,0
3/5/18,ped - well,0,1813,10,Omar,0,0,0
3/5/18,ped- not well,0,1839,17,Omar,0,0,0
3/6/18,ped - well,0,1806,7,Omar,0,48,0
3/6/18,ped- not well,0,1828,11,Omar,0,48,0
3/7/18,ped - well,0,1792,14,Omar,0,0,0
3/7/18,ped- not well,0,1819,9,Omar,0,0,0
3/8/18,ped - well,0,1784,8,Omar,14,49,0
3/8/18,ped- not well,0,1792,27,Omar,14,49,0
3/9/18,ped - well,0,1770,14,Omar,0,0,0
3/9/18,ped- not well,0,1783,9,Omar,0,0,0
3/12/18,ped - well,0,1764,6,Omar,0,0,0
3/12/18,ped- not well,1,1771,12,Omar,0,0,0
3/13/18,ped - well,0,1758,6,Omar,0,48,0
3/13/18,ped- not well,1,1751,20,Omar,0,48,0
3/14/18,ped - well,0,1748,10,Omar,0,0,0
3/14/18,ped- not well,1,1717,34,Omar,0,0,0
3/15/18,ped - well,0,1736,12,Omar,0,0,0
3/15/18,ped- not well,1,1699,18,Omar,0,0,0
3/16/18,ped - well,0,1726,10,Omar,0,0,0
3/16/18,ped- not well,1,1674,25,Omar,0,0,0
3/19/18,ped - well,1,1708,18,Omar,0,0,0
3/19/18,ped- not well,0,1663,11,Omar,0,0,0
3/20/18,ped - well,1,1696,12,Omar,0,97,0
3/20/18,ped- not well,0,1656,7,Omar,0,97,0
3/21/18,ped - well,1,1687,9,Omar,0,0,0
3/21/18,ped- not well,0,1652,4,Omar,0,0,0
3/22/18,ped - well,1,1674,13,Omar,0,99,0
3/22/18,ped- not well,0,1638,14,Omar,0,99,0
3/23/18,ped - well,1,1654,20,Omar,0,0,0
3/23/18,ped- not well,0,1621,17,Omar,0,0,0
3/26/18,ped - well,0,1652,2,Omar,43,0,0
3/26/18,ped- not well,1,1612,9,Omar,43,0,0
3/27/18,ped - well,0,1642,10,Omar,100,50,0
3/27/18,ped- not well,1,1607,5,Omar,100,50,0
3/28/18,ped - well,0,1439,203,Omar,88,0,1
3/28/18,ped- not well,1,1602,5,Omar,88,0,0
3/29/18,ped - well,0,1435,4,Omar,60,0,0
3/29/18,ped- not well,1,1591,11,Omar,60,0,0
3/30/18,ped - well,0,1429,6,Omar,97,0,0
3/30/18,ped- not well,1,1569,22,Omar,7,0,0
3/11/18,Avalon - Lobby,0,1855,4,Carmen,0,0,0
3/12/18,Avalon - Gym,0,1853,5,Carmen,0,0,0
3/13/18,Avalon - Gym,0,1848,5,Carmen,0,48,0
3/14/18,Avalon - Gym,0,1841,7,Carmen,0,0,0
3/15/18,Avalon - Gym,0,1836,5,Carmen,0,0,0
3/16/18,Avalon - Gym,0,1835,1,Carmen,0,0,0
3/17/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3/18/18,Avalon - Lobby,0,1842,13,Carmen,0,0,0
3/19/18,Avalon - Gym,0,1832,3,Carmen,0,0,0
3/20/18,Avalon - Gym,0,1826,6,Carmen,0,97,0
3/21/18,Avalon - Gym,0,1824,2,Carmen,0,0,0
3/22/18,Avalon - Gym,0,1816,8,Carmen,0,99,0
3/23/18,Avalon - Gym,0,1806,10,Carmen,0,0,0
3/24/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/1/18,Avalon - Lobby,1,1835,7,Carmen,17,0,0
4/2/18,Avalon - Gym,1,1799,7,Carmen,46,0,0
4/3/18,Avalon - Gym,1,1787,12,Carmen,0,0,0
4/4/18,Avalon - Gym,1,1776,11,Carmen,14,49,0
4/5/18,Avalon - Gym,1,1767,9,Carmen,22,40,0
4/6/18,Avalon - Gym,1,1763,4,Carmen,11,50,0
